customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay
10,20.180181508713968,1915409.1594994974,3,984.1562025552387,0.49002861976623535,616654843.6472137,647.9247882544598,176.52452599206978,675.2382820691166
10,22.050151054748646,1789053.7436011173,2,902.0480902935117,0.7025282382965088,612947663.4727923,457.38234650654647,184.58344175028114,579.0270672305197
10,22.151396390884983,2070779.2923089794,3,1029.4697092255005,0.6841464042663574,680950038.4099567,734.2866112093328,208.01092320051012,665.4505936246078
10,21.81932960299319,1912113.7146473161,3,941.8948778119952,0.5285341739654541,604605306.552835,541.2550648380947,180.80742164011906,625.4818899417869
10,23.535917055671646,2015532.4756223343,3,978.257382003302,0.3713059425354004,652436609.6514205,760.1733438633231,209.38568406283412,611.8324348933423
10,22.65750009698907,1825122.9789210802,4,901.0370140763046,0.586313009262085,580894914.9564216,561.2607390277834,183.93915002668956,579.1435015295979
10,18.86380087717785,1731593.750154437,2,927.3623798226666,0.48090291023254395,572885437.9506929,374.4685163019447,157.42843020563518,651.862626962805
11,23.376848928544884,2156735.2039854797,3,1048.437600350153,0.6612751483917236,687934051.2177569,404.1715168147188,222.4560179760402,659.1395688920827
11,22.654145596575646,1901939.0581374643,3,1320.3758224387236,0.4488704204559326,585498964.167892,456.2357273690537,187.6847347093188,991.9275366974157
11,19.660511873507875,1443791.2243830317,3,764.1781890204486,0.6290135383605957,503422277.87575436,1068.9263415886503,133.5227833493651,530.5133181590596
11,23.535560034688746,2054668.5148829578,3,1000.2793028911822,0.8892347812652588,683145958.2052804,459.55625680799676,214.30011551996307,625.2541007312468
11,19.675353602892898,1888082.671416959,3,1016.7572342191718,0.3449113368988037,608898691.4544392,482.9925490205474,172.64052805296873,714.6363101264765
11,19.42949120663474,1692137.89982547,3,1185.841026781911,0.5646905899047852,554353200.2133776,522.5196643580323,152.84140392833115,918.3685699073316
11,20.83418761433564,1623646.8591162649,2,839.2334415076004,0.7530574798583984,584432877.2671916,613.8285061086074,160.02806202727604,559.1843329598673
11,19.500132227563718,1554835.5654566188,3,819.3447345201898,0.6414453983306885,511670680.2924518,645.8623199972051,140.4522980357438,573.5532129576382
11,23.184544625712345,1565863.8404971843,2,781.0719076875753,0.5486493110656738,577615553.2679318,423.32869930376205,167.37403345443064,488.16734914232165
11,21.425375599925726,1956647.0198575999,2,989.6758856943807,0.8262989521026611,700184690.4099118,501.9531760393555,193.70275553384425,650.6960635101533
12,20.224655027064546,2046421.8888677359,3,1052.1130991074226,0.5953629016876221,679482328.6051716,559.3681858108788,188.5346211804771,722.1775120415878
12,19.659588744247646,1920874.5348131228,3,1014.2906529153495,0.9365313053131104,687479878.3596545,889.6736712558569,180.5016325609885,698.4127959336197
12,20.076663997674235,1812303.9958085443,3,944.0347985636263,0.5104002952575684,585566423.4145808,708.6422193308323,161.64382590576673,661.1581032285345
12,19.58109360827108,1734755.611726935,3,1069.3428707531707,1.2508835792541504,585097938.2266715,676.2942853089057,159.31812275543385,790.5361559311614
12,21.665082905861244,2026283.4769771367,3,1018.4507624253451,1.0607523918151855,677498370.3132626,557.7390965038051,199.19737766679518,669.8553515084536
12,20.96752283602537,2464219.160098659,3,1243.3019037457832,2.024876117706299,832901755.2599281,603.2000972343739,233.9776035390204,833.8410975524974
