customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff,a,xxx
20,22.553577470980482,3517263.2104277764,5,1835.1994918865255,2.7972798347473145,1230756038.7770777,1032.983696400372,363.4294191263391,1199.198008415432,0.37,25,1
20,22.561111796034083,3517263.2104277764,5,1839.6586058008322,4.065552473068237,1230756038.777077,1032.983696400372,363.51748422034285,1203.5030084152322,0.37,26,1
20,22.56761094527884,3517263.2104277764,5,1844.1295746315996,4.000056505203247,1230756038.777074,1032.983696400372,363.61232355234665,1207.8080084149929,0.37,27,1
20,22.573274546236952,3517263.2104277764,5,1848.6566742716996,2.59271240234375,1230756038.7770836,1032.983696400372,363.7139371223517,1212.1572843075842,0.37,28,1
20,22.582666203276307,3517263.2104277764,5,1853.320084160904,2.5510597229003906,1230756038.777173,1032.983696400372,363.93748697636744,1216.4294819522609,0.37,29,1
20,23.08888154567023,3630844.5606466467,5,1895.8324283594818,4.190112829208374,1287123293.0925467,999.5613293014391,380.5556639977548,1229.860016363411,0.37,30,1
20,23.08888154567023,3630844.5606466467,5,1900.752428359184,3.5839052200317383,1287123293.092632,999.5613293014391,380.55566399776086,1234.7800163631025,0.37,31,1
20,21.40523755828785,3653277.039610168,6,1964.0328705039574,4.22737455368042,1236558117.3097346,1104.0061664771822,356.71077073421424,1339.7890217190825,0.37,32,1
20,21.476819622066827,3653277.039610168,6,1968.3387446711063,4.452618360519409,1236558117.3097346,1104.0061664771822,357.9940942397288,1341.849079751581,0.37,33,1
20,21.493253810000486,3653277.039610168,6,1972.616198623662,4.363886594772339,1236558117.3097346,1104.0061664771822,358.4862165090762,1345.2653197327786,0.37,34,1
20,21.678492008943987,3277500.5926827765,5,1917.0634123454809,4.360333681106567,1086068763.5479014,1008.0006019507857,324.55200912876586,1349.0973963701406,0.37,35,1
