customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows
8,19.707514425598262,2104007.842289447,3,1068.1461584773833,0.14862418174743652,685517017.1980387,436.51169838688384,178.50646280243114,755.7598485731289,5700
8,16.414904466140104,2228353.4414629643,4,1372.6978905984072,0.10678935050964355,672975515.30405,436.51169838688384,167.30395480119762,1079.9159696963113,6000
8,16.779330196838547,2257004.6753572486,4,1348.216743703657,0.10009598731994629,687084944.975648,436.51169838688384,171.33941208037265,1048.3727725630047,6300
8,18.176638566716786,1960855.570369039,3,1054.606276685452,0.1070091724395752,634485850.873539,363.3500208099084,164.25260821794464,767.164212304049,6600
8,20.57700218700671,2005888.453631157,3,1023.901101369067,0.13858675956726074,643301861.8359907,350.9113655640752,184.55755814251177,700.9253746196714,6900
8,17.463033803565825,1832920.9145761444,3,1078.2978571503334,0.14754867553710938,597132044.2360358,415.6886536397876,141.84734351399504,830.065006000842,7200
8,19.535409798099636,2056283.6407475725,3,1071.698745128729,0.11891698837280273,652056298.5544934,415.6886536397876,180.87003175081563,755.1761895648016,7500
8,16.41082307378154,2163792.0516044297,4,1299.7938478852443,0.09988665580749512,653214459.5263824,415.6886536397876,158.14593243044897,1023.0384661319587,7800
8,16.79582492713005,2140920.9937073044,4,1350.4995545026868,0.10675358772277832,651798197.5780663,415.6886536397876,159.9970559785963,1070.5047065401432,8100
8,18.0619654404388,1828695.4314485271,3,983.0430978468869,0.18825721740722656,604826580.0252879,388.62042689159387,149.1346315997441,722.0574925473347,8400
8,18.251425976104066,1844382.1144892832,3,1063.5231235716906,0.12278223037719727,609239797.4850075,415.6886536397876,154.1814137953021,793.705649429912,8700
8,19.633424916021422,1768359.5247176096,3,912.9450803981482,0.17750859260559082,578590741.5250597,394.8656088926914,154.61420356542015,642.370224158663,9000
8,15.614370551518734,2163792.0516044297,4,1312.002444420342,0.13353872299194336,654785269.4392048,415.6886536397876,155.69974971441934,1039.5278824201082,9300
8,18.653398549365704,1832920.914576144,3,1035.9980937694172,0.20541834831237793,581795890.1218624,415.6886536397876,157.45420854037508,760.4532288237607,9600
