customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,timewindows,fuel_per_100km_distance,drivercost_per_100km_distance
8,16.41082307378154,2163792.0516044297,4.0,1299.7938478852443,0.0998866558074951,653214459.5263824,415.6886536397876,158.14593243044897,1023.0384661319588,7800,7.308739872354433,47.279888350333216
8,16.79582492713005,2140920.9937073044,4.0,1350.4995545026868,0.1067535877227783,651798197.5780663,415.6886536397876,159.9970559785963,1070.5047065401432,8100,7.473281660036367,50.0020649844913
8,18.0619654404388,1828695.4314485271,3.0,983.0430978468868,0.1882572174072265,604826580.0252879,388.62042689159387,149.1346315997441,722.0574925473347,8400,8.155247125083761,39.484841495742465
8,18.251425976104063,1844382.1144892832,3.0,1063.5231235716906,0.1227822303771972,609239797.4850075,415.6886536397876,154.1814137953021,793.705649429912,8700,8.35951577409411,43.03368825769015
8,19.633424916021426,1768359.5247176096,3.0,912.9450803981482,0.1775085926055908,578590741.5250597,394.8656088926914,154.61420356542015,642.370224158663,9000,8.743369286859842,36.32577059018829
8,15.614370551518734,2163792.0516044297,4.0,1312.002444420342,0.1335387229919433,654785269.4392048,415.6886536397876,155.69974971441934,1039.5278824201082,9300,7.195689142076733,48.041949393857365
8,18.653398549365704,1832920.914576144,3.0,1035.9980937694172,0.2054183483123779,581795890.1218624,415.6886536397876,157.45420854037508,760.4532288237607,9600,8.590343821614681,41.48860012324168
8,18.83421338992959,1960225.577542927,3.0,1069.183094493283,0.1322965621948242,650433755.0126625,415.6886536397876,167.80489421638234,775.5245296146139,9900,8.560488963046783,39.56302470997783
8,18.856140914617153,1934235.3848479984,3.0,1037.2471479595142,0.1615431308746338,626620338.9626652,388.62042689159387,165.08312710075722,748.3516755331892,10200,8.534800283044675,38.68979346544207
8,19.866526738426057,2109133.288429247,3.0,1115.173187135982,0.1406676769256591,681753399.5158565,350.91136556407525,186.9371947257178,788.0330963659758,10500,8.863223379539809,37.362887432915834
8,18.909598366969576,1938205.3573238775,3.0,1069.975462207747,0.1650288105010986,642676659.9543035,336.28179406171455,165.99520874475186,779.4838469044312,10800,8.564376737351767,40.2167832195388
8,20.07012994736849,1908943.5043478175,3.0,969.4598609768892,0.2224752902984619,622961608.0949559,436.51169838688384,165.9210376511785,679.0980450873267,11100,8.691773081459774,35.574549144100395
8,19.62356898668144,1916303.3111586163,3.0,979.9156736688852,0.1717574596405029,633753577.1607019,376.9585569951654,164.54184236041104,691.967449538166,11400,8.58641956115639,36.109495063169064
8,19.308717388683352,1856906.5124713376,3.0,969.5455971165766,0.2216329574584961,597793852.2666577,415.6886536397876,161.07739517915053,687.6601555530631,11700,8.674502140916847,37.03256738745902
8,18.220773931821128,2022469.234341963,3.0,1071.1456341810476,0.132997989654541,656098120.2318794,350.91136556407514,163.02129190595645,785.8583733456239,12000,8.0605078751172,38.856382089852325
8,16.63345420846813,2140920.9937073044,4.0,1283.41573475396,0.1148746013641357,648094829.8412458,415.6886536397876,162.5080355963539,999.0266724603406,12300,7.590566680134631,46.66340679533373
8,21.04722539422926,1844382.1144892832,3.0,932.37885120158,0.2302844524383545,609239797.485008,415.6886536397876,172.9547313821072,629.7080712828923,12600,9.377380642730808,34.14195281639136
8,19.190719900350977,1960655.6019168273,3.0,1033.3672765669908,0.2487421035766601,627318091.111065,421.9338356408851,171.99775139960127,732.3712116176885,12900,8.772461172245057,37.35338378151108
8,18.421702613349566,1832381.0283820147,3.0,982.3546532058692,0.1846308708190918,594965044.5701722,342.5269760628122,150.3848945263036,719.1810877848378,13200,8.207075504328534,39.24844651005102
8,18.820797468337776,1768359.5247176096,3.0,963.1767917609172,0.8591558933258057,578590741.5250597,394.8656088926914,157.19140585383195,688.0918315167112,13500,8.889109010733208,38.91130858282865
8,18.168919424084823,1904718.0212202007,3.0,1093.720226007572,0.255403995513916,625053337.1616508,409.4434716386901,159.10092218791982,815.2936121787125,13800,8.352990858247699,42.803900792434305
8,20.515858417368676,1627223.5349563411,2.0,818.7676286588757,0.1476819515228271,580893321.2801056,350.91136556407514,145.66778783845731,563.8489999415754,14100,8.95192238246269,34.650986040261735
8,17.715880495531486,1987924.1606395023,3.0,1099.123325659889,0.1496040821075439,648909920.0303483,415.6886536397876,164.17573624694663,811.8157872277322,14400,8.25865188912098,40.837362073539886
8,20.03668603687901,2000028.2008187375,3.0,1017.505904129524,0.3191297054290771,632229884.9837153,357.1565475651728,176.0437659678247,709.4293136858308,14700,8.802064185682926,35.47096552915688
8,17.151481114432446,1828695.4314485271,3.0,999.6536343078,0.2289152145385742,604826580.0252898,388.62042689159387,136.83785785316996,760.1873830647526,15000,7.482812911321126,41.56992848517158
8,18.09458291607916,2052270.973512152,3.0,1153.6437767905345,0.1658434867858886,651465817.4897507,323.8431388158814,176.3698799566388,844.9964868664165,15300,8.593888537769864,41.173728897034124
8,21.351200388000183,1627223.5349563411,2.0,821.2585754253154,0.1953263282775879,568671553.9519215,350.91136556407514,155.9357026402268,548.3710958049185,15600,9.582930635550978,33.69980116589399
8,17.41013837017687,2266061.4871694585,4.0,1314.1360182529231,0.1778390407562255,693996709.114592,415.6886536397876,176.37781857911463,1005.4748357394728,15900,7.783452460481488,44.37103059349962
8,17.828301437123102,2022469.234341963,3.0,1080.8390743138657,0.2095179557800293,652670106.9425203,350.91136556407514,160.38685182174314,800.1620836258151,16200,7.93024927639639,39.56362203384312
8,18.287902962114575,1832381.0283820147,3.0,996.6283666351784,0.2630114555358886,594965044.5707399,342.5269760628122,155.17448378850378,725.0730200052967,16500,8.468461601871214,39.56999165427582
8,15.998996975987453,2163792.0516044297,4.0,1289.1404054526,0.1304619312286377,658213282.7285663,415.6886536397876,155.15232140138716,1017.6238430001728,16800,7.170389653956963,47.02965066562727
