customers,averagespeed,distance,vehicles,costs,tts,weighted_load,positive_height_diff,total_fuel,driver_pay,eff
8,0,0.0,0,0.0,0.06711053848266602,0.0,0,0.0,0,0.55
8,0,0.0,0,0.0,0.06863164901733398,0.0,0,0.0,0,0.56
8,0,0.0,0,0.0,0.06761932373046875,0.0,0,0.0,0,0.5700000000000001
8,0,0.0,0,0.0,0.06842279434204102,0.0,0,0.0,0,0.58
8,0,0.0,0,0.0,0.06738042831420898,0.0,0,0.0,0,0.59
8,0,0.0,0,0.0,0.06831192970275879,0.0,0,0.0,0,0.6
8,0,0.0,0,0.0,0.06792712211608887,0.0,0,0.0,0,0.61
8,0,0.0,0,0.0,0.06782245635986328,0.0,0,0.0,0,0.62
8,0,0.0,0,0.0,0.0686483383178711,0.0,0,0.0,0,0.63
8,0,0.0,0,0.0,0.06751799583435059,0.0,0,0.0,0,0.64
8,0,0.0,0,0.0,0.06912541389465332,0.0,0,0.0,0,0.65
8,0,0.0,0,0.0,0.06707191467285156,0.0,0,0.0,0,0.66
8,0,0.0,0,0.0,0.06906771659851074,0.0,0,0.0,0,0.67
8,0,0.0,0,0.0,0.06735682487487793,0.0,0,0.0,0,0.68
8,0,0.0,0,0.0,0.0692446231842041,0.0,0,0.0,0,0.6900000000000001
8,0,0.0,0,0.0,0.06694412231445312,0.0,0,0.0,0,0.7000000000000001
8,0,0.0,0,0.0,0.0693659782409668,0.0,0,0.0,0,0.71
8,0,0.0,0,0.0,0.06691122055053711,0.0,0,0.0,0,0.72
8,0,0.0,0,0.0,0.0729224681854248,0.0,0,0.0,0,0.73
8,0,0.0,0,0.0,0.07338929176330566,0.0,0,0.0,0,0.74
8,0,0.0,0,0.0,0.07246899604797363,0.0,0,0.0,0,0.75
8,0,0.0,0,0.0,0.07347297668457031,0.0,0,0.0,0,0.76
8,0,0.0,0,0.0,0.07286620140075684,0.0,0,0.0,0,0.77
8,0,0.0,0,0.0,0.07387232780456543,0.0,0,0.0,0,0.78
8,0,0.0,0,0.0,0.07219862937927246,0.0,0,0.0,0,0.79
8,0,0.0,0,0.0,0.07365155220031738,0.0,0,0.0,0,0.8
8,0,0.0,0,0.0,0.07283806800842285,0.0,0,0.0,0,0.81
8,0,0.0,0,0.0,0.07307982444763184,0.0,0,0.0,0,0.8200000000000001
8,0,0.0,0,0.0,0.07673406600952148,0.0,0,0.0,0,0.8300000000000001
8,0,0.0,0,0.0,0.0694890022277832,0.0,0,0.0,0,0.84
8,0,0.0,0,0.0,0.07682228088378906,0.0,0,0.0,0,0.85
8,0,0.0,0,0.0,0.06856274604797363,0.0,0,0.0,0,0.86
8,0,0.0,0,0.0,0.06691837310791016,0.0,0,0.0,0,0.87
8,0,0.0,0,0.0,0.06937313079833984,0.0,0,0.0,0,0.88
8,0,0.0,0,0.0,0.06633114814758301,0.0,0,0.0,0,0.89
8,0,0.0,0,0.0,0.07016849517822266,0.0,0,0.0,0,0.9
